,Unnamed: 0,tweet_id,retweeter_id,retweeter_location
224,224,1461034359582965763,701314473328414720,Philippines
226,226,1461034359582965763,695375397114896384,Ghana
228,228,1461034359582965763,49344076,United States
230,230,1461034359582965763,1240059200811618305,Japan
232,232,1461034359582965763,2385061622,Brazil
234,234,1461034359582965763,1182258156170293249,Saudi Arabia
235,235,1461034359582965763,125949331,Russia
238,238,1461034359582965763,1785583254,None
239,239,1461034359582965763,1187326702457778177,India
242,242,1461034359582965763,4287867324,Canada
243,243,1461034359582965763,1008261242631307266,None
245,245,1461034359582965763,2897748295,India
246,246,1461034359582965763,260756478,Australia
251,251,1461034359582965763,1366836543999139850,United States
253,253,1461034359582965763,1207428788369248256,United States
254,254,1461034359582965763,867736019394625536,United States
256,256,1461034359582965763,359085676,Jordan
258,258,1461034359582965763,3094232313,None
263,263,1461034359582965763,1485664291,United States
264,264,1461034359582965763,1245765960671342592,South Africa
265,265,1461034359582965763,2437333400,None
268,268,1461034359582965763,2464152010,None
270,270,1461034359582965763,324795586,None
274,274,1461034359582965763,19236683,Turkey
275,275,1460734002264883205,861629679886880768,United States
276,276,1460734002264883205,1911042636,United States
277,277,1460734002264883205,958685377442672641,United States
278,278,1460734002264883205,497092292,Germany
281,281,1460734002264883205,59843500,None
283,283,1460734002264883205,1319372627694260226,Romania
285,285,1460734002264883205,1155844896088920064,United States
289,289,1460734002264883205,148405713,India
292,292,1460734002264883205,800285150160396289,United States
294,294,1460734002264883205,771284286989217796,None
296,296,1460734002264883205,984617447121653767,None
298,298,1460734002264883205,2802698166,None
300,300,1460734002264883205,1333803905394720768,India
301,301,1460734002264883205,1433020752211611652,Rwanda
303,303,1460734002264883205,1461259596211924995,Turkey
306,306,1460734002264883205,1342648539575320576,None
310,310,1460734002264883205,1114137923119669248,Ghana
313,313,1460734002264883205,822546585607409670,None
315,315,1460734002264883205,272278343,United States
316,316,1460734002264883205,2897748295,India
318,318,1460734002264883205,1345651577802002437,India
321,321,1460734002264883205,918096933838733312,India
322,322,1460734002264883205,1018257129902395392,Brazil
323,323,1460734002264883205,837772065285419008,India
325,325,1460734002264883205,1934007494,United States
329,329,1460734002264883205,247132435,United States
330,330,1460734002264883205,924947578474528768,None
332,332,1460734002264883205,1458964399935344640,United States
333,333,1460734002264883205,1444263078426824708,Italy
335,335,1460734002264883205,167848727,Peru
338,338,1460734002264883205,3094232313,None
339,339,1460734002264883205,1253436248678699008,United Kingdom
340,340,1460734002264883205,993625121834205184,None
341,341,1460734002264883205,149300800,Mali
343,343,1460734002264883205,1455128301350096897,India
345,345,1460734002264883205,1457563907690749953,United States
347,347,1460734002264883205,323677398,None
349,349,1460734002264883205,1460174366424006656,Malaysia
350,350,1460734002264883205,1039074418188668928,India
352,352,1460734002264883205,1417106674679123976,Pakistan
353,353,1460734002264883205,1034572631025098754,None
354,354,1460734002264883205,38105260,Australia
356,356,1460734002264883205,178736813,India
358,358,1460734002264883205,6736572,Australia
359,359,1460734002264883205,1223502466358108161,India
360,360,1460734002264883205,277262146,United States
361,361,1460734002264883205,831386988922142721,India
363,363,1460734002264883205,1307598418802388992,None
364,364,1460734002264883205,1382798524958478340,Thailand
365,365,1460734002264883205,963057408,Libya
366,366,1460734002264883205,196707379,United States
368,368,1460734002264883205,826695811127971840,India
369,369,1460317599875534848,861629679886880768,United States
370,370,1460317599875534848,1013181691005894666,United States
371,371,1460317599875534848,1205842090321731584,Ghana
375,375,1460317599875534848,1461259596211924995,Turkey
376,376,1460317599875534848,1342648539575320576,None
379,379,1460317599875534848,501117309,United States
381,381,1460317599875534848,3402520873,None
382,382,1460317599875534848,918096933838733312,India
387,387,1460317599875534848,1034572631025098754,None
389,389,1460317599875534848,1067453277502140416,None
390,390,1460317599875534848,1365173407415898113,Indonesia
391,391,1460317599875534848,1437007298,None
392,392,1460317599875534848,922249838330126337,United States
393,393,1460317599875534848,582223009,United States
395,395,1460317599875534848,1345651577802002437,India
396,396,1460317599875534848,1459893317785817088,United States
397,397,1460317599875534848,277262146,United States
398,398,1460317599875534848,914950225185460224,India
400,400,1460317599875534848,1341807515772792834,United States
401,401,1460317599875534848,1417106674679123976,Pakistan
402,402,1460317599875534848,194961673,United States
403,403,1460317599875534848,2802698166,None
407,407,1460317599875534848,3001202519,Mali
409,409,1460317599875534848,831386988922142721,India
412,412,1460317599875534848,323677398,None
413,413,1460317599875534848,2834649107,Greece
416,416,1460317599875534848,713921676610781184,Saudi Arabia
418,418,1460317599875534848,314753131,United States
420,420,1460317599875534848,1335455310060937216,None
426,426,1460317599875534848,387582927,Japan
428,428,1460317599875534848,282280747,United States
429,429,1460317599875534848,82350646,Portugal
430,430,1460317599875534848,1205558443144138757,India
432,432,1460317599875534848,148405713,India
433,433,1460317599875534848,3094232313,None
434,434,1460317599875534848,695375397114896384,Ghana
435,435,1460317599875534848,701314473328414720,Philippines
437,437,1460317599875534848,771284286989217796,None
438,438,1460317599875534848,38105260,Australia
439,439,1460317599875534848,1442565893259599877,United States
447,447,1460317599875534848,3136367280,None
448,448,1460317599875534848,27979261,Somalia
449,449,1460317599875534848,1375406750749188097,None
450,450,1460317599875534848,385023518,None
451,451,1460317599875534848,254446436,Japan
452,452,1460317599875534848,1445478572521504774,United States
453,453,1460317599875534848,902043561000034304,India
454,454,1460317599875534848,1260654032,Canada
455,455,1460317599875534848,15497928,None
457,457,1460317599875534848,430312876,United States
458,458,1460317599875534848,176055192,United Kingdom
460,460,1460317599875534848,1182258156170293249,Saudi Arabia
461,461,1459937906525556739,861629679886880768,United States
466,466,1459937906525556739,1342648539575320576,None
468,468,1459937906525556739,1450895297161285633,None
470,470,1459937906525556739,918096933838733312,India
471,471,1459937906525556739,1034572631025098754,None
472,472,1459937906525556739,922249838330126337,United States
473,473,1459937906525556739,1459893317785817088,United States
477,477,1459937906525556739,1087718267601338368,Bangladesh
479,479,1459937906525556739,1427286386479144965,None
482,482,1459937906525556739,1457591637324931075,None
484,484,1459937906525556739,1409329636954148869,Canada
485,485,1459937906525556739,1284950899111198720,Germany
486,486,1459937906525556739,771284286989217796,None
487,487,1459937906525556739,1442565893259599877,United States
488,488,1459937906525556739,254577814,None
490,490,1459937906525556739,4212582497,United States
492,492,1459937906525556739,3094232313,None
499,499,1459937906525556739,323677398,None
500,500,1459937906525556739,1186716045094117378,None
501,501,1459937906525556739,1417106674679123976,Pakistan
503,503,1459937906525556739,970944478205939712,India
504,504,1459937906525556739,196707379,United States
505,505,1459937906525556739,149300800,Mali
517,517,1459937906525556739,901169035,Canada
519,519,1459937906525556739,3036891512,India
520,520,1459937906525556739,1455168569071869953,None
521,521,1459937906525556739,1433695692036481024,South Africa
523,523,1459937906525556739,1176045030022107136,United States
528,528,1459937906525556739,562990095,Nigeria
529,529,1459937906525556739,815814484765741056,United States
530,530,1459937906525556739,116465142,United States
533,533,1459937906525556739,2385061622,Brazil
534,534,1459937906525556739,1190303177725202432,India
535,535,1459937906525556739,1182258156170293249,Saudi Arabia
536,536,1459937906525556739,705306164167311360,None
537,537,1459937906525556739,1443840264213311536,None
538,538,1459937906525556739,1217340912243638273,India
539,539,1459937906525556739,151274219,United States
543,543,1459937906525556739,633580141,Spain
545,545,1459937906525556739,751744801121329152,South Korea
546,546,1459937906525556739,198249585,United States
547,547,1459937906525556739,1317835923816591360,None
548,548,1459937906525556739,387270755,None
550,550,1459937906525556739,899474561514651648,India
552,552,1459937906525556739,1271306223829172225,Kenya
554,554,1459937906525556739,831537433,Cameroon
557,557,1459937855577280514,861629679886880768,United States
560,560,1459937855577280514,1352667285744463873,None
562,562,1459937855577280514,1342648539575320576,None
564,564,1459937855577280514,918096933838733312,India
569,569,1459937855577280514,922249838330126337,United States
570,570,1459937855577280514,1459893317785817088,United States
575,575,1459937855577280514,1427286386479144965,None
579,579,1459937855577280514,1409329636954148869,Canada
580,580,1459937855577280514,1284950899111198720,Germany
581,581,1459937855577280514,771284286989217796,None
582,582,1459937855577280514,1442565893259599877,United States
584,584,1459937855577280514,1406629316675440647,None
586,586,1459937855577280514,45249172,United States
589,589,1459937855577280514,3094232313,None
598,598,1459937855577280514,1186716045094117378,None
600,600,1459937855577280514,1417106674679123976,Pakistan
601,601,1459937855577280514,196707379,United States
605,605,1459937855577280514,1239994491571970049,None
606,606,1459937855577280514,1265868941605236740,India
609,609,1459937855577280514,417065145,India
614,614,1459937855577280514,1353421647865327618,Pakistan
615,615,1459937855577280514,1034572631025098754,None
618,618,1459937855577280514,1455168569071869953,None
619,619,1459937855577280514,1433695692036481024,South Africa
621,621,1459937855577280514,1176045030022107136,United States
622,622,1459937855577280514,1457916914114736131,United States
626,626,1459937855577280514,1245697316234952704,None
628,628,1459937855577280514,562990095,Nigeria
630,630,1459937855577280514,1038415661758918657,United Kingdom
632,632,1459937855577280514,1182258156170293249,Saudi Arabia
633,633,1459937855577280514,2385061622,Brazil
634,634,1459937855577280514,1190303177725202432,India
635,635,1459937855577280514,1367567898441625602,Ukraine
636,636,1459937855577280514,705306164167311360,None
638,638,1459937855577280514,1217340912243638273,India
640,640,1459937855577280514,1245087081744891905,None
645,645,1459937855577280514,101780826,Japan
646,646,1459937855577280514,198249585,United States
647,647,1459937855577280514,1317835923816591360,None
648,648,1459937855577280514,387270755,None
651,651,1459937626341855236,254577814,None
654,654,1459937626341855236,1241069028,India
656,656,1459937626341855236,1242795306036547584,None
657,657,1459937626341855236,1034572631025098754,None
659,659,1459937626341855236,281633854,Zimbabwe
660,660,1459937626341855236,1433695692036481024,South Africa
661,661,1459937626341855236,1176045030022107136,United States
664,664,1459937626341855236,1038415661758918657,United Kingdom
667,667,1459937626341855236,2385061622,Brazil
670,670,1459937626341855236,1245087081744891905,None
672,672,1459937626341855236,387270755,None
673,673,1459937626341855236,57586968,Thailand
674,674,1459937626341855236,1438705637249077249,India
675,675,1459937626341855236,705306164167311360,None
677,677,1459937626341855236,1184420106106998785,United States
678,678,1459937626341855236,695375397114896384,Ghana
680,680,1459937626341855236,843999904598974465,None
682,682,1459937626341855236,2802698166,None
684,684,1459937626341855236,1250715396518416385,United States
685,685,1459937626341855236,2371284973,Japan
686,686,1459937626341855236,997325180270768128,Ghana
687,687,1459937626341855236,859889153403740164,United States
688,688,1459937626341855236,872480005644857346,United Kingdom
690,690,1459937626341855236,4613996528,None
691,691,1459937626341855236,564790115,United States
692,692,1459937626341855236,950965949011644417,India
693,693,1459937626341855236,1438465624901046276,United States
694,694,1459937626341855236,1170679079453880320,Australia
696,696,1459937626341855236,1397498835463774208,United States
698,698,1459937626341855236,1272115676954664960,None
700,700,1459937588421136388,861629679886880768,United States
701,701,1459937588421136388,2534170500,Pakistan
705,705,1459937588421136388,1342648539575320576,None
706,706,1459937588421136388,918096933838733312,India
712,712,1459937588421136388,922249838330126337,United States
714,714,1459937588421136388,1403442180673335297,India
716,716,1459937588421136388,1460405988515880963,United States
718,718,1459937588421136388,3001202519,Mali
719,719,1459937588421136388,29486496,China
721,721,1459937588421136388,1409369000895602691,Vietnam
723,723,1459937588421136388,771284286989217796,None
724,724,1459937588421136388,1442565893259599877,United States
725,725,1459937588421136388,23162881,Japan
726,726,1459937588421136388,1406629316675440647,None
730,730,1459937588421136388,1205757870727282688,India
731,731,1459937588421136388,1460219508199677952,Tanzania
735,735,1459937588421136388,3094232313,None
737,737,1459937588421136388,148405713,India
740,740,1459937588421136388,800285150160396289,United States
743,743,1459937588421136388,1421041568811606017,India
744,744,1459937588421136388,1103199807445913601,Iraq
745,745,1459937588421136388,3315779812,None
746,746,1459937588421136388,3343688313,Uganda
748,748,1459937588421136388,1186716045094117378,None
749,749,1459937588421136388,1417106674679123976,Pakistan
750,750,1459937588421136388,3384920352,United States
751,751,1459937588421136388,196707379,United States
752,752,1459937588421136388,1265868941605236740,India
753,753,1459937588421136388,1162667970985779201,India
755,755,1459937588421136388,387582927,Japan
758,758,1459937588421136388,1385260019663446021,India
761,761,1459937588421136388,738631820,Bangladesh
762,762,1459937588421136388,1261608637677568002,Bangladesh
763,763,1459937588421136388,82350646,Portugal
766,766,1459937588421136388,701314473328414720,Philippines
769,769,1459937588421136388,1242795306036547584,None
772,772,1459937588421136388,141594918,Japan
773,773,1459937588421136388,901169035,Canada
775,775,1459937588421136388,1377297812623388672,Cuba
776,776,1459937588421136388,1034572631025098754,None
780,780,1459937588421136388,1455168569071869953,None
782,782,1459937588421136388,450196004,None
784,784,1459937588421136388,954357652141744128,None
786,786,1459937588421136388,1433695692036481024,South Africa
788,788,1459937588421136388,1176045030022107136,United States
790,790,1459240086554304517,1205842090321731584,Ghana
792,792,1459240086554304517,1433020752211611652,Rwanda
793,793,1459240086554304517,1342648539575320576,None
796,796,1459240086554304517,918096933838733312,India
797,797,1459240086554304517,1034572631025098754,None
799,799,1459240086554304517,922249838330126337,United States
802,802,1459240086554304517,1442565893259599877,United States
803,803,1459240086554304517,1406629316675440647,None
804,804,1459240086554304517,281675123,Lebanon
807,807,1459240086554304517,2802698166,None
808,808,1459240086554304517,1325073012710764545,Lebanon
809,809,1459240086554304517,1239994491571970049,None
811,811,1459240086554304517,1169050010899509248,India
812,812,1459240086554304517,838837648198414338,Zimbabwe
813,813,1459240086554304517,1445131045595189254,Algeria
814,814,1459240086554304517,38105260,Australia
815,815,1459240086554304517,870518390342811649,India
816,816,1459240086554304517,937571611,India
818,818,1459240086554304517,1442580373678874632,Chile
819,819,1459240086554304517,1459806800690221058,United States
824,824,1459240086554304517,1417106674679123976,Pakistan
826,826,1459240086554304517,2250632233,Mongolia
828,828,1459240086554304517,1227650775964409857,United States
829,829,1459240086554304517,771284286989217796,None
830,830,1459240086554304517,3001202519,Mali
831,831,1459240086554304517,181656772,United States
833,833,1459240086554304517,927563713774682112,India
834,834,1459240086554304517,1274599584,Belgium
835,835,1459240086554304517,949376259326398464,Venezuela
839,839,1459240086554304517,1452534036547571712,Bangladesh
841,841,1459240086554304517,1327790454373457922,None
842,842,1459240086554304517,695375397114896384,Ghana
843,843,1459240086554304517,437480927,None
847,847,1459240086554304517,1459459168490835976,None
848,848,1459240086554304517,452750224,None
850,850,1459240086554304517,729186620,None
851,851,1459240086554304517,1069858424123547650,Uganda
852,852,1459240086554304517,1455128301350096897,India
853,853,1459240086554304517,1258979191,Sweden
854,854,1459240086554304517,149300800,Mali
856,856,1459240086554304517,1219545832661438465,France
857,857,1459240086554304517,1459184094227673092,None
