tweet_id,retweeter_id,retweeter_location
1461380998743015425,1434970333958791168,
1461380998743015425,861629679886880768,"Dallas, TX"
1461380998743015425,1458654513536012290,
1461380998743015425,1447090222198579202,
1461380998743015425,1369660971342393345,
1461380998743015425,1034572631025098754,El Mundo
1461380998743015425,1453402113309089804,
1461380998743015425,1425487033309581314,Bristol  🇪🇺 🇬🇧
1461380998743015425,1409329636954148869,"Surrey, British Columbia"
1461380998743015425,10221,philly
1461380998743015425,1053386113199603712,Brazil
1461380998743015425,1455874022584029197,
1461380998743015425,38105260,"Melbourne, Victoria"
1461380998743015425,1455980057499869185,"Chernobyl,Sector 4"
1461380998743015425,1426813251635929090,
1461380998743015425,1093612658425647105,
1461380998743015425,323677398,"Trivandrum, India 🇮🇳"
1461380998743015425,901169035,Vancouver_Canada
1461380998743015425,1460620032103567360,
1461380998743015425,1247239520841428994,बिधवान लोहारू भिवानी 
1461380998743015425,148405713,"Kolkata, India"
1461380998743015425,843999904598974465,THENI.TAMILNADU
1461380998743015425,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
1461380998743015425,800285150160396289,"Honolulu, HI"
1461380998743015425,82350646,"Porto, Portugal"
1461380998743015425,695375397114896384,Ghana
1461380998743015425,734968627292700672,"Sekondi Takoradi, Ghana"
1461380998743015425,1448161503958507520,
1461380998743015425,1397762762848276480,
1461380998743015425,3254450900,
1461380998743015425,1406290116419719177,
1461380998743015425,701314473328414720,Philippines 🇵🇭
1461380998743015425,1006742115630665728,"Accra, Ghana"
1461380998743015425,1205842090321731584,"Accra, Ghana"
1461380998743015425,1455128301350096897,"Bengaluru, India"
1461380998743015425,771284286989217796,allagadda
1461380998743015425,1461424663658217478,
1461380998743015425,196707379,paradise
1461380998743015425,2897748295,"Lucknow, india"
1461380998743015425,768338742,Philippines
1461380998743015425,168865188,"Colorado Springs, CO"
1461380998743015425,1269713136174747650,
1461380998743015425,2841616232,Active on tweeter since June21
1461380998743015425,848574265347592192,
1461380998743015425,1383169623575580678,
1461380998743015425,1461391146769424388,United States
1461380998743015425,1460359517993062404,"Dallas, TX"
1461380998743015425,1114761930818895872,"Patiala, Punjab (IN)"
1461380998743015425,1459323366570082308,
1461380998743015425,502804503,
1461380998743015425,1459478221951578112,
1461380998743015425,1440714238138355723,
1461380998743015425,1290643998764400640,
1461380998743015425,1104272413137743872,"Worcester, England"
1461380998743015425,630303921,"Los Angeles, CA"
1461380998743015425,1424259622039289859,"Dhaka, Bangladesh"
1461380998743015425,1088810262625468416,
1461380998743015425,1442521812412231686,
1461380998743015425,149300800,San Francisco
1461380998743015425,1411712914482941955,
1461380998743015425,1182258156170293249,Riyadh
1461380998743015425,24266406,"Los Angeles, CA"
1461380998743015425,1410668472535822339,
1461380998743015425,1420296350852395011,
1461380998743015425,535467278,India
