tweet_id,retweeter_id,retweeter_location
1460317599875534848,501117309,United States
1460317599875534848,918096933838733312,India
1460317599875534848,1365173407415898113,Indonesia
1460317599875534848,922249838330126337,United States
1460317599875534848,582223009,United States
1460317599875534848,1345651577802002437,India
1460317599875534848,1459893317785817088,United States
1460317599875534848,277262146,United States
1460317599875534848,914950225185460224,India
1460317599875534848,1341807515772792834,United States
1460317599875534848,1417106674679123976,Pakistan
1460317599875534848,194961673,United States
1460317599875534848,3001202519,Mali
1460317599875534848,831386988922142721,India
1460317599875534848,2834649107,Greece
1460317599875534848,713921676610781184,Saudi Arabia
1460317599875534848,314753131,United States
1460317599875534848,387582927,Japan
1460317599875534848,282280747,United States
1460317599875534848,82350646,Portugal
1460317599875534848,1205558443144138757,India
1460317599875534848,148405713,India
1460317599875534848,695375397114896384,Ghana
1460317599875534848,701314473328414720,Philippines
1460317599875534848,38105260,Australia
1460317599875534848,1442565893259599877,United States
1460317599875534848,27979261,Somalia
1460317599875534848,254446436,Japan
1460317599875534848,1445478572521504774,United States
1460317599875534848,902043561000034304,India
1460317599875534848,1260654032,Canada
1460317599875534848,430312876,United States
1460317599875534848,176055192,United Kingdom
1460317599875534848,1182258156170293249,Saudi Arabia
1459937906525556739,861629679886880768,United States
1459937906525556739,918096933838733312,India
1459937906525556739,922249838330126337,United States
1459937906525556739,1459893317785817088,United States
1459937906525556739,1087718267601338368,Bangladesh
1459937906525556739,1409329636954148869,Canada
1459937906525556739,1284950899111198720,Germany
1459937906525556739,1442565893259599877,United States
1459937906525556739,4212582497,United States
1459937906525556739,1417106674679123976,Pakistan
1459937906525556739,970944478205939712,India
1459937906525556739,196707379,United States
1459937906525556739,149300800,Mali
1459937906525556739,901169035,Canada
1459937906525556739,3036891512,India
1459937906525556739,1433695692036481024,South Africa
1459937906525556739,1176045030022107136,United States
1459937906525556739,562990095,Nigeria
1459937906525556739,815814484765741056,United States
1459937906525556739,116465142,United States
1459937906525556739,2385061622,Brazil
1459937906525556739,1190303177725202432,India
1459937906525556739,1182258156170293249,Saudi Arabia
1459937906525556739,1217340912243638273,India
1459937906525556739,151274219,United States
1459937906525556739,633580141,Spain
1459937906525556739,751744801121329152,South Korea
1459937906525556739,198249585,United States
1459937906525556739,899474561514651648,India
1459937906525556739,1271306223829172225,Kenya
1459937906525556739,831537433,Cameroon
1459937855577280514,861629679886880768,United States
1459937855577280514,918096933838733312,India
1459937855577280514,922249838330126337,United States
1459937855577280514,1459893317785817088,United States
1459937855577280514,1409329636954148869,Canada
1459937855577280514,1284950899111198720,Germany
1459937855577280514,1442565893259599877,United States
1459937855577280514,45249172,United States
1459937855577280514,1417106674679123976,Pakistan
1459937855577280514,196707379,United States
1459937855577280514,1265868941605236740,India
1459937855577280514,417065145,India
1459937855577280514,1353421647865327618,Pakistan
1459937855577280514,1433695692036481024,South Africa
1459937855577280514,1176045030022107136,United States
1459937855577280514,1457916914114736131,United States
1459937855577280514,562990095,Nigeria
1459937855577280514,1038415661758918657,United Kingdom
1459937855577280514,1182258156170293249,Saudi Arabia
1459937855577280514,2385061622,Brazil
1459937855577280514,1190303177725202432,India
1459937855577280514,1367567898441625602,Ukraine
1459937855577280514,1217340912243638273,India
1459937855577280514,101780826,Japan
1459937855577280514,198249585,United States
1459937626341855236,1241069028,India
1459937626341855236,281633854,Zimbabwe
1459937626341855236,1433695692036481024,South Africa
1459937626341855236,1176045030022107136,United States
1459937626341855236,1038415661758918657,United Kingdom
1459937626341855236,2385061622,Brazil
1459937626341855236,57586968,Thailand
1459937626341855236,1438705637249077249,India
1459937626341855236,1184420106106998785,United States
1459937626341855236,695375397114896384,Ghana
1459937626341855236,1250715396518416385,United States
1459937626341855236,2371284973,Japan
1459937626341855236,997325180270768128,Ghana
1459937626341855236,859889153403740164,United States
1459937626341855236,872480005644857346,United Kingdom
1459937626341855236,564790115,United States
1459937626341855236,950965949011644417,India
1459937626341855236,1438465624901046276,United States
1459937626341855236,1170679079453880320,Australia
1459937626341855236,1397498835463774208,United States
1459937588421136388,861629679886880768,United States
1459937588421136388,2534170500,Pakistan
1459937588421136388,918096933838733312,India
1459937588421136388,922249838330126337,United States
1459937588421136388,1403442180673335297,India
1459937588421136388,1460405988515880963,United States
1459937588421136388,3001202519,Mali
1459937588421136388,29486496,China
