,created_at,id,text,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,hashtags,user_mentions
87,Sat Sep 25 16:47:11 +0000 2021,1441806500230402048,To the Freshest Prince of Birthdays: Hope you’re maxin’ &amp; relaxin’ on your special day Will Smith! https://t.co/VK4EOKKUoU,False,N/A,N/A,N/A,False,161,1760,N/A,N/A
88,Sat Sep 25 01:05:20 +0000 2021,1441569474402926596,.@G_Eazy was here to perform #Faithful with @MarcEBassy. https://t.co/cYfxaAKamq,False,N/A,N/A,N/A,False,145,1087,['Faithful'],"['G_Eazy', 'MARCEBASSY']"
89,Fri Sep 24 23:29:16 +0000 2021,1441545300296933377,.@MattJames919 is giving us a sneak peek of what we can expect on #DWTS with @Official_tWitch and @ArsenioHall. https://t.co/5HwKGWdHFq,False,N/A,N/A,N/A,False,59,554,['DWTS'],"['mattjames919', 'official_tWitch', 'ArsenioHall']"
90,Fri Sep 24 21:22:36 +0000 2021,1441513422252752905,I am so proud of the work we’re doing in Rwanda and at @TheEllenFund. Happy #WorldGorillaDay. https://t.co/RMcAXB1O84,False,N/A,N/A,N/A,True,115,917,['WorldGorillaDay'],['TheEllenFund']
91,Fri Sep 24 19:33:26 +0000 2021,1441485949616070675,I was today years old when I found out that @ArsenioHall used to have a thing for me. https://t.co/xGL7ZHJZrF,False,N/A,N/A,N/A,False,83,1256,N/A,['ArsenioHall']
92,Fri Sep 24 17:50:34 +0000 2021,1441460061587402754,First-grade Tamika Wilcher revealed the secret of how she’s improving her students' grades. It involves sick beats. https://t.co/qaRWprOp5j,False,N/A,N/A,N/A,False,55,570,N/A,N/A
93,Fri Sep 24 00:28:45 +0000 2021,1441197878735618052,Chloe Fineman’s impressions are so good I wanted to surprise her with someone she impersonates. @_juliannemoore https://t.co/FsklceHKhs,False,N/A,N/A,N/A,False,113,1217,N/A,['_juliannemoore']
94,Thu Sep 23 21:58:57 +0000 2021,1441160183984525312,A Golden Ticket to 12 Days of Giveaways could be waiting for you in your Fall BEKIND. By Ellen box!… https://t.co/3zykYoLL3l,True,N/A,N/A,N/A,False,66,670,N/A,N/A
95,Thu Sep 23 19:38:47 +0000 2021,1441124908654678024,Today I learned what snatched means. Thanks #ChloeFineman,False,N/A,N/A,N/A,False,43,787,['ChloeFineman'],N/A
96,Thu Sep 23 18:19:13 +0000 2021,1441104885835919362,"This fall, Congress has a rare opportunity to invest in a clean, just, and equitable future by passing the Build Ba… https://t.co/t5uOeasWCj",True,N/A,N/A,N/A,False,123,697,N/A,N/A
97,Thu Sep 23 17:21:09 +0000 2021,1441090273358987264,No one has ever thanked me for scaring them quite like @_JulianneMoore did. https://t.co/yx34M9NRtG,False,N/A,N/A,N/A,False,83,1130,N/A,['_juliannemoore']
98,Thu Sep 23 16:33:37 +0000 2021,1441078308398006281,Happy #BiVisibilityDay!❤️,False,N/A,N/A,N/A,False,137,1436,['BiVisibilityDay'],N/A
99,Wed Sep 22 23:27:39 +0000 2021,1440820115793072133,It's a good day for some magic with #AGT winner @DustinTavella. OMG. https://t.co/RhStfUQ7kP,False,N/A,N/A,N/A,False,81,895,['AGT'],['dustintavella']
100,Wed Sep 22 19:52:22 +0000 2021,1440765939096555529,.@ScottKFoley’s first job in LA was teaching ballroom dancing because of course it was. https://t.co/jNyOVR9snG,False,N/A,N/A,N/A,False,48,604,N/A,['scottkfoley']
101,Wed Sep 22 19:18:11 +0000 2021,1440757336751034383,@TPedherney Their names are Vik and Raino!❤️,False,1.4407562850502615e+18,602291796.0,TPedherney,False,0,2,N/A,['TPedherney']
102,Wed Sep 22 17:12:02 +0000 2021,1440725590076575752,"Happy #FirstDayOfFall! It’s time for pumpkin patches, sweaters, and counting down the days until Andy goes through… https://t.co/2kbNgVh0UT",True,N/A,N/A,N/A,False,145,2314,['FirstDayOfFall'],N/A
103,Tue Sep 21 23:43:37 +0000 2021,1440461747253436426,"Like I’ve always said, one minute you can be visiting your barber, and the next minute you can become a viral sensa… https://t.co/jTpET6dvkt",True,N/A,N/A,N/A,False,161,1494,N/A,N/A
104,Tue Sep 21 19:28:49 +0000 2021,1440397622565490692,Happy birthday to an OG Ellen Underwear wearer❤️ @JasonDerulo https://t.co/kGVz96CoyT,False,N/A,N/A,N/A,False,96,2147,N/A,['jasonderulo']
105,Tue Sep 21 18:07:37 +0000 2021,1440377190688821249,Learn more at: https://t.co/mLf5SpjSpx,False,1.4403771229339894e+18,15846407.0,TheEllenShow,False,39,368,N/A,N/A
106,Tue Sep 21 18:07:21 +0000 2021,1440377122933989376,"It just doesn't add up: 1 in 4 families experience food insecurity, yet billions of pounds of food get thrown in th… https://t.co/kuSiLHo9dL",True,N/A,N/A,N/A,False,127,995,N/A,N/A
107,Tue Sep 21 17:39:29 +0000 2021,1440370108115795978,".@MEtheridge and I reminisced about spending time with Brad Pitt, @MeganMullally, @Rosie, and all of the other peop… https://t.co/9W5euQCZXB",True,N/A,N/A,N/A,False,66,847,N/A,"['metheridge', 'MeganMullally', 'Rosie']"
108,Tue Sep 21 04:52:22 +0000 2021,1440177056843591684,@Helga76950117 ❤️❤️❤️,False,1.440134364587643e+18,1599685254.0,Helga76950117,False,0,7,N/A,['Helga76950117']
109,Tue Sep 21 01:25:50 +0000 2021,1440125080374185989,UPDATE: Adorable five-year-old Matthew Sawchuck from my show is all grown up! https://t.co/evCOzvF5Ut,False,N/A,N/A,N/A,False,196,2463,N/A,N/A
110,Mon Sep 20 23:31:00 +0000 2021,1440096185230843909,"I love my audience, our Q&amp;As, and when Jennifer Aniston decides to join them! https://t.co/p9zjPUNfMf",False,N/A,N/A,N/A,False,122,1451,N/A,N/A
111,Mon Sep 20 21:29:25 +0000 2021,1440065584364879879,.@Common freestyled in front of some pretty incredible people at Barack Obama’s birthday party. https://t.co/AhCdECLwzY,False,N/A,N/A,N/A,False,72,671,N/A,['common']
112,Mon Sep 20 19:15:02 +0000 2021,1440031766031388672,.@Common really loves @TiffanyHaddish. https://t.co/rGfEsRsV5v,False,N/A,N/A,N/A,False,124,1600,N/A,"['common', 'TiffanyHaddish']"
